Tweet_ID,Formatted_Text,Manual_Sentiment,Polarity,Subjectivity
9.79E+17,Why is @paytm denying to verify my kyc? @Paytmcare @PaytmBank,negative,,
9.79E+17,My First transition of @PaytmBank #debitcard Happy to used...  Thnx to @vijayshekhar https://t.co/A3gwNPwTWd,positive,,
9.79E+17,@Paytm Not able to send money to PayTm account event sender and receiver both are verified user of PayTm.… https://t.co/oBQBGZF6bU,negative,,
9.79E+17,Though it has been more than 48hrs and after series of pathetic Customercare calls also money deducted from my acco… https://t.co/tsRTDi4CSg,negative,,
9.79E+17,@Zomato @ZomatoIN Hello Team. Just installed your app. Couple of things:  1. Couldn't find UPI as payment method. 2… https://t.co/iJkUTm2BVP,negative,,
9.78E+17,Why @TheOfficialSBI  is Not listed here for Net Banking. @PaytmBank @Paytm @vijayshekhar @Paytmcare https://t.co/QdmJtLt9Id,negative,,
9.78E+17,This is not done @PaytmBank @Paytm @Paytmcare when my friend transfers money from paytm wallet to paytm payment ban… https://t.co/5bZoiCnnEp,negative,,
9.78E+17,Hi @Paytm @PaytmBank @Paytmcare @paytmbankcare  Please find another issue with this transaction.  I have transfered… https://t.co/kp0JqFWNNY,negative,,
9.78E+17,How many times i request you to solve my KYC problem i hav complete it on 12th march nd still not working. Now plz… https://t.co/DfOU4p6nQa,negative,,
9.78E+17,"Hi, problem not getting solved.  Problem: Already had Kyc done on my old no.( Not in use) How to get done Kyc on my… https://t.co/TtrYUdm7Rs",negative,,
9.78E+17,"After all, my Paytm debit card came today.@PaytmBank https://t.co/GSsMeCkm5h",negative,,
9.78E+17,Thank you #Paytm for pushing me for my first tweet. Regardless of many complaints & queries not getting my cashback… https://t.co/60VxRBls57,negative,,
9.78E+17,"Ref. No.02965394 has not yet solved very poor services, there is no attention to the basic requirements of the cust… https://t.co/maY41D28R4",negative,,
9.78E+17,sir i am received rs 3000 massage  from omprakash meena via phonepe into your paytm payments bank . but not receive… https://t.co/Tp5ML6rPtV,negative,,
9.78E+17,@Paytm @Paytmcare @PaytmBank @paytmbankcare @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/5BsnPFAhrM,,,
9.78E+17,"Yeahh finally got India’s most sincere Bank’s ATM card  #PayTmKaATM   Mera desh badal raha hai, aage bad raha hai… https://t.co/oel0EJOH9W",positive,,
9.78E+17,@Paytm @Paytmcare @PaytmBank @paytmbankcare @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday… https://t.co/Bw2AqoOvDC,,,
9.78E+17,Please solve Reference No.: 57277977. Cash back not received after completion of kyc. Very pathetic. @Paytmcare @PaytmBank @vijayshekhar,negative,,
